Gene_id,SM1,SM2,SM3,R1,R2,R3,mean_sm,mean_r,log2fc,log10intensity,pass_1,pass_2,desc,FDR
Tb927.2.6320,29693.130615397393,36087.594958411166,36233.4092310231,213958.36472943268,216903.39487778785,162397.87098770158,34004.71160161056,197753.21019830738,2.539894553390921,5.365034587844331,True,True,"adenosine transporter 2, putative",4.76371528847586e-06
Tb927.5.3460,25458.231777105375,32456.13240103739,33108.289391169805,253573.15306966286,83076.81074779462,26724.314280321465,30340.88452310419,121124.75936592632,1.9971587495187995,5.180314135402864,True,True,Flagellum attachment zone protein 16,0.34925586771036105
Tb927.10.7300,767943.7744840253,822241.1968661874,909365.8576249173,2473517.5405025245,3214790.5984378383,3457690.141911384,833183.6096583767,3048666.093617249,1.871471783090559,6.589038716446048,True,True,"hypothetical protein, conserved",2.3355947814051998e-05
Tb927.6.4470,62855.467843633305,76522.67210714931,81976.09831037416,204632.28302722174,222421.46501184712,205472.69099839966,73784.74608705226,210842.14634582284,1.5147687874980562,5.454275931178484,True,True,S-adenosylmethionine decarboxylase proenzyme,6.302260193345899e-05
Tb927.7.180,736918.7532840281,811855.3166808836,834407.933746626,2778570.6645683916,1135116.4421294266,2571202.9648491107,794394.0012371793,2161630.0238489765,1.444192984457539,6.470707959465665,True,True,"Trypanosomal VSG domain containing protein, putative",0.00591045781347127
Tb927.5.2750,462767.82555651956,514106.2056117985,468103.0568631322,1303966.7267762276,997741.203568071,816903.1532555178,481659.02934381674,1039537.0278666053,1.1098570308926023,6.182185191092703,True,False,"Alpha/beta hydrolase family, putative",0.000985843993203505
Tb927.2.6200,318362.41071288334,342425.85975937813,387235.7814147258,531105.3108736508,926860.7691035226,771508.5142968751,349341.35062899574,743158.1980913496,1.0890319329353966,6.038421266248131,True,False,"adenosine transporter 2, putative",0.0119660290548204
Tb11.v5.0826,253886.98645280406,248562.56870782448,273693.81875850353,675725.7623538714,326986.8350708766,645531.8007919034,258714.45797304402,549414.7994055505,1.0865350926367454,5.907480830176408,True,False,"expression site-associated gene (ESAG) protein, putative",0.045708759891039
Tb927.3.560,199758.75442858296,181151.9398493047,225004.8824462551,616580.3538811401,299262.65061001544,336015.2299781896,201971.85890804758,417286.0781564484,1.046882495258996,5.79187158167083,True,False,"expression site-associated gene 11 (ESAG11) protein, putative",0.0097418053551839
Tb927.11.4100,460930.16421543114,532474.1124083595,588322.305841846,1430079.4186977379,819608.4283262293,987220.0425609756,527242.1941552121,1078969.2965283142,1.0331160755265505,6.205802728482915,True,False,"variant surface glycoprotein (VSG), putative",0.00497307500093404
Tb927.5.1360,2123161.0692602037,2235583.823863315,2039147.7192977436,4137531.1892531407,5800459.432151123,3091369.640767773,2132630.8708070875,4343120.087390679,1.026097567365249,6.811290138481555,True,False,nucleoside 2-deoxyribosyltransferase,0.00684130409140994
Tb927.11.1470,19006.550474203104,20316.671852102187,21902.997547044928,51371.66811192059,34961.50405833061,36645.758135417134,20408.739957783404,40992.97676855611,1.0061896446525442,4.7881805137202145,True,False,65 kDa invariant surface glycoprotein-like protein,0.00187400241495333
Tb927.10.11380,290160.1035548284,256010.40563596023,324705.2894437924,270492.4703255449,254840.1270494452,1192808.7245067726,290291.9328781937,572713.7739605876,0.9803098207067548,5.9360136676044295,True,False,"hypothetical protein, conserved",0.8258651764697079
Tb09.v4.0150,129497.18027021181,142803.28432829675,135849.53070695815,337965.1672343148,229998.51653921205,207507.80489364194,136049.99843515558,258490.4962223896,0.925974298748099,5.596091584741294,True,False,"variant surface glycoprotein (VSG, pseudogene), putative",0.00442837183828084
Tb927.10.16190,501747.76814744435,557252.2954023781,606556.0736818052,1176446.0973590286,1066140.565453686,912100.0871738978,555185.3790772092,1051562.2499955373,0.9214927768741862,6.205947667735148,True,False,procyclic-enriched flagellar receptor adenylate cyclase 2,0.00253449750325237
Tb927.5.300b,883153.5517149642,991024.590975526,875042.9202168791,1783748.504153195,1638125.5965140066,1763484.1857011372,916407.0209691231,1728452.7621227799,0.9154207590240404,6.422402652914263,True,False,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative",0.00191902068566359
Tb11.v5.0600,1324.6889388035027,770.5275263886214,814.6102012280469,1875.926292332467,1641.2140686039652,1969.948072068204,969.942222140057,1829.0294776682122,0.9151076105534961,3.4469985073696137,False,False,"HIT zinc finger, putative",0.10478425722390199
Tb927.5.3710,787644.8285010991,801952.2617860935,785456.7758116149,1797226.196419616,1492555.6120072943,1181842.3076619436,791684.6220329358,1490541.3720296181,0.9128386865312293,6.358358647582051,True,False,Inositol phosphosphingolipids phospholipase C,0.00442837183828084
Tb927.10.1800,212084.32981993718,232054.052923667,225913.29306796854,396003.47955659,456311.4563844069,408425.215048805,223350.55860385756,420246.7169966007,0.9119266861955312,5.808614197027067,True,False,"methyltransferase domain containing protein, putative",0.00210263069197003
Tb927.5.2690,223441.40801801506,226897.0679058406,201742.07848402677,472212.60913091496,382877.8849921595,364570.092301071,217360.1848026275,406553.52880804846,0.9033576197555465,5.795124531519111,True,False,"inositol-1(or 4)-monophosphatase 1, putative",0.0024153687584742897
Tb927.1.5110,102793.14654790913,101695.333636396,112081.01361511617,266521.3645684744,146877.43769146135,163315.25393529783,105523.1645998071,192238.01873174452,0.8653339485377369,5.47386808171812,True,False,"expression site-associated gene 11 (ESAG11) protein, putative",0.0171958570681006
Tb927.11.17870,261676.35276795807,265872.3690166641,266426.53378479613,642187.96918734,392462.4433779975,405725.789363924,264658.41852313944,480125.40064308717,0.8592797172127384,5.872030232791821,True,False,"variant surface glycoprotein (VSG), interrupted",0.007244910710466459
Tb927.2.4370,4958953.96218843,4945363.720282142,4808863.609728108,9456285.836427603,8160463.905158104,8967260.143279742,4904393.764066227,8861336.628288483,0.8534495139457662,7.1387992594601055,True,False,trypanothione synthetase,0.0022203690620495
Tb927.2.6220,256875.2555705199,261393.39398126112,273384.7718459618,328759.4220701969,551004.0106625356,550324.3222419418,263884.4737992476,476695.9183248915,0.8531628033368623,5.869572209326956,True,False,"adenosine transporter 2, putative",0.0565682628387491
Tb927.5.110,55832.62152931167,67030.5323532218,59358.54684130104,134415.91304993044,103927.08582710467,88340.8144640456,60740.566907944834,108894.6044470269,0.8422001938613971,5.229515901822706,False,False,"variant surface glycoprotein (VSG)-related, putative",0.0108645775451505
Tb927.6.2990,28143.53510615528,33168.042882581954,33638.35167146856,61122.53779359997,46599.89638399102,57852.06670910499,31649.976553401928,55191.500295565325,0.8022416726037178,4.938727200571227,False,False,"Putative papain-like cysteine peptidase (DUF1796), putative",0.00864821350429975
Tb927.5.1260,1576332.653979573,1634209.5152108083,1677562.8316239773,3290722.9706923882,3327108.0334426635,1868719.608885168,1629368.3336047863,2828850.204340073,0.7959030088206439,6.649161353398886,True,False,"Sulfate transporter N-terminal domain with GLY motif/Sulfate transporter family, putative",0.11136676599855401
Tb927.7.7530,651045.3354801943,656334.2087428875,679088.4475495421,1129960.0926936856,1278009.7508248414,1031887.1019404902,662155.9972575413,1146618.9818196725,0.7921430210356785,6.2573845417500324,True,False,"receptor-type adenylate cyclase GRESAG 4, putative",0.00555916863472302
Tb927.11.13730,63615.36564143473,72752.52568973438,79419.43748843843,126124.72557531968,119935.66616005641,126757.01624200771,71929.10960653586,124272.4693257946,0.7888590741113987,5.29270249804311,False,False,ornithine decarboxylase,0.00597415062951703
