Gene_id,SM1,SM2,SM3,R1,R2,R3
Tb927.5.4450,202520.0,167120.0,192210.0,217940.0,216410.0,171980.0
Tb05.5K5.110,5809700.0,4628400.0,5037100.0,4584900.0,4746900.0,5327100.0
Tb927.5.4470,648760.0,521740.0,622260.0,516940.0,589300.0,527190.0
Tb927.5.4480,5863200.0,4627600.0,5535900.0,4714100.0,5247800.0,4997200.0
Tb927.5.4500,8699700.0,6696300.0,7637600.0,8512700.0,8722800.0,6195900.0
Tb927.5.4520,175700.0,139480.0,171270.0,180660.0,178970.0,132700.0
Tb927.5.4360,201820.0,171190.0,166120.0,113660.0,137380.0,129520.0
Tb927.5.4560,6279500.0,4833400.0,5481700.0,8818100.0,7933400.0,6934000.0
Tb05.5K5.210,1465800.0,1255300.0,1380800.0,1137300.0,1281500.0,1188000.0
Tb927.5.4380,3903400.0,2765600.0,3148200.0,3220500.0,3731500.0,2602000.0
Tb927.5.4390,396530.0,315860.0,287570.0,135030.0,379670.0,281940.0
Tb927.5.4400,626460.0,500520.0,574470.0,494530.0,563310.0,534360.0
Tb927.5.4410,309330.0,231220.0,290040.0,214130.0,222030.0,227510.0
Tb927.5.4420,3792800.0,3305400.0,3777200.0,4974600.0,4584300.0,4045400.0
Tb927.5.4430,149220.0,124160.0,129530.0,157740.0,145190.0,143140.0
Tb927.5.4440,1734000.0,1573300.0,1367400.0,1020000.0,1758100.0,1345800.0
Tb06.3A7.270,25394.0,23814.0,24040.0,18616.0,21031.0,22578.0
Tb06.3A7.960,447490.0,365200.0,419310.0,332010.0,389810.0,367660.0
Tb927.7.2150,93589.0,68196.0,80947.0,71255.0,96558.0,85675.0
Tb927.7.2140,148040.0,129730.0,156170.0,119000.0,164520.0,137310.0
Tb927.9.15850,24076.0,18337.0,22069.0,14760.0,23286.0,18534.0
Tb927.9.15890,307200.0,245260.0,274570.0,152940.0,161550.0,203170.0
Tb09.v4.0017,69731.0,62500.0,61071.0,67790.0,68080.0,76179.0
Tb09.v4.0067,85176.0,82136.0,84475.0,72789.0,64283.0,76840.0
Tb09.v4.0119,1364.8,0.0,872.05,0.0,851.45,0.0
Tb09.v4.0150,156440.0,139010.0,145060.0,280850.0,223410.0,196790.0
Tb09.v4.0151,36183.0,30109.0,38663.0,20167.0,31773.0,43211.0
Tb10.v4.0033,530860.0,494340.0,454200.0,332930.0,375790.0,551160.0
Tb927.10.4440,76159.0,66471.0,72976.0,65444.0,67779.0,62951.0
Tb10.v4.0035,3394200.0,2805100.0,2882200.0,2562000.0,3275100.0,3099100.0
Tb927.10.4460,749810.0,574300.0,669380.0,541640.0,694460.0,635380.0
Tb927.10.4490,522940.0,433540.0,503950.0,377250.0,461920.0,428930.0
Tb927.10.4500,528270.0,437610.0,464790.0,411160.0,559670.0,576080.0
Tb10.v4.0041,979270.0,833590.0,899280.0,637200.0,737800.0,780530.0
Tb927.10.4320,396490.0,266460.0,440740.0,297410.0,327940.0,306450.0
Tb927.10.4310,2018600.0,1663600.0,1858900.0,1097700.0,1141600.0,1423400.0
Tb10.v4.0149,122090.0,87365.0,100170.0,49414.0,65265.0,69612.0
Tb927.10.16220,78041.0,58944.0,61920.0,179800.0,52119.0,22780.0
Tb10.v4.0217,19798.0,16576.0,15683.0,10320.0,13226.0,15972.0
Tb10.v4.0218,104100.0,73870.0,98841.0,88139.0,122560.0,103070.0
Tb927.10.6900,207730.0,176350.0,192840.0,111600.0,143200.0,134940.0
Tb927.10.6950,219080.0,173780.0,205490.0,132780.0,159550.0,190650.0
Tb10.v4.0252,0.0,0.0,0.0,0.0,0.0,0.0
Tb11.01.2730,1138500.0,858260.0,1074400.0,1008600.0,986100.0,1036700.0
Tb11.01.6241,165730.0,146640.0,170030.0,234760.0,193100.0,181650.0
Tb11.02.5070b,61996.0,56037.0,60171.0,48568.0,61402.0,59852.0
Tb927.11.7213,944370.0,802130.0,843140.0,707670.0,713270.0,814650.0
Tb11.02.5090b,123350.0,96476.0,114990.0,90913.0,111060.0,116300.0
Tb11.02.5105b,9369.8,9735.3,9371.5,7720.4,7328.0,9183.4
Tb11.02.5360b,93044.0,76901.0,97321.0,77538.0,71836.0,93119.0
Tb11.02.5380b,593240.0,525400.0,527030.0,460560.0,552900.0,531850.0
Tb11.02.5390b,226050.0,204300.0,228690.0,159320.0,178570.0,196370.0
Tb11.02.5400b,69359.0,55411.0,66860.0,22680.0,27431.0,42216.0
Tb11.02.5410b,145690.0,128660.0,137080.0,138910.0,146020.0,132010.0
Tb11.02.5420b,377090.0,322770.0,351250.0,319230.0,276100.0,340000.0
Tb11.02.5430b,136200.0,105330.0,124470.0,85192.0,97412.0,104710.0
Tb927.6.4980,1421700.0,1196700.0,1332400.0,793580.0,1005000.0,1005900.0
