# ProtRank analysis results of a dataset with 4841 rows and 3 comparisons
# comparisons in group 1: SM1 vs. R1 & SM2 vs. R2 & SM3 vs. R3
# FDR values computed using 100 bootstrap realizations of the data
# rank	row	rank score	FDR	signs in groups
1	Tb927.2.6320	680.578278	0.00000	+
2	Tb927.11.2230	525.749250	0.00000	-
3	Tb927.10.15410	480.042467	0.00000	-
4	Tb927.10.7300	404.387645	0.00000	+
5	Tb927.6.4470	339.356425	0.00000	+
6	Tb927.8.7820	319.831984	0.00000	-
7	Tb927.11.6280	300.853144	0.00000	-
8	Tb927.11.9590	297.425607	0.00000	-
9	Tb927.6.2810	268.249609	0.00000	-
10	Tb927.11.10810	259.697202	0.00000	-
11	Tb927.7.5680	236.473280	0.00000	-
12	Tb927.10.8440	234.353217	0.00000	-
13	Tb927.10.7270	198.062083	0.00000	+
14	Tb927.10.8530	192.847674	0.00000	-
15	Tb927.7.180	190.115062	0.00000	+
16	Tb927.7.2660	187.933687	0.00000	-
17	Tb927.5.2750	174.082866	0.00000	+
18	Tb927.11.4290	167.125980	0.00000	-
19	Tb927.11.9640	161.853029	0.00053	-
20	Tb927.2.6200	151.208289	0.00053	+
21	Tb927.10.13430	148.991972	0.00053	-
22	Tb927.11.1470	145.275515	0.00053	+
23	Tb927.11.9810	144.392464	0.00053	-
24	Tb927.11.9630	144.024573	0.00053	-
25	Tb927.1.4420	143.279848	0.00053	-
26	Tb927.10.12800	143.101266	0.00053	-
27	Tb927.11.7040	141.857639	0.00053	-
28	Tb927.10.1800	137.094601	0.00053	+
29	Tb927.5.1360	135.833870	0.00053	+
30	Tb927.11.4100	131.784728	0.00053	+
31	Tb927.5.2690	129.771451	0.00053	+
32	Tb927.5.300b	128.779292	0.00053	+
33	Tb927.10.16190	124.380945	0.00061	+
34	Tb927.11.3080	124.015479	0.00061	-
35	Tb927.11.1540	121.696628	0.00143	-
36	Tb927.5.3710	120.569587	0.00167	+
37	Tb11.v5.0826	119.510773	0.00189	+
38	Tb927.3.560	118.324300	0.00189	+
39	Tb927.2.4370	116.829122	0.00189	+
40	Tb927.11.9980	115.652781	0.00189	-
41	Tb927.11.16750	114.946721	0.00189	-
42	Tb927.11.9510	113.126880	0.00189	-
43	Tb09.v4.0150	111.291821	0.00189	+
44	Tb927.11.9480	107.255576	0.00205	-
45	Tb927.4.3950	107.181299	0.00205	-
46	Tb927.10.3040	103.834419	0.00239	-
47	Tb927.11.13730	100.691836	0.00239	+
48	Tb927.3.1700	97.800614	0.00292	+
49	Tb927.10.1390	97.056212	0.00292	+
50	Tb927.7.7530	97.012724	0.00292	+
51	Tb927.5.110	96.278273	0.00292	+
52	Tb927.11.17870	95.563275	0.00292	+
53	Tb927.10.2440	95.508717	0.00292	+
54	Tb927.11.9760	95.279564	0.00292	-
55	Tb927.11.5440	94.031698	0.00292	-
56	Tb927.6.3140	93.724072	0.00292	+
57	Tb927.6.2990	93.163629	0.00292	+
58	Tb11.02.5400b	90.354011	0.00293	-
59	Tb927.8.5120	89.632948	0.00293	-
60	Tb927.6.2490	87.066074	0.00383	-
61	Tb927.11.11680	86.075111	0.00393	-
62	Tb927.1.5110	85.909072	0.00403	+
63	Tb927.7.5230	85.856067	0.00403	+
64	Tb927.11.20730	84.662699	0.00406	+
65	Tb927.10.2250	84.266943	0.00406	-
66	Tb927.5.4560	81.753845	0.00455	+
67	Tb927.7.3350	81.327604	0.00455	+
68	Tb927.9.4040	80.790186	0.00456	-
69	Tb927.4.1360	80.075726	0.00478	-
70	Tb927.11.900	79.735854	0.00486	-
71	Tb927.8.1460	79.466613	0.00486	+
72	Tb927.10.9360	76.974452	0.00583	-
73	Tb927.3.2230	76.627604	0.00583	-
74	Tb927.11.9530	75.787483	0.00608	-
75	Tb927.2.2060	75.722483	0.00608	+
76	Tb927.10.6530	74.085553	0.00618	+
77	Tb927.6.1520	73.216032	0.00649	-
78	Tb927.10.5780	71.912922	0.00649	+
79	Tb927.5.2250	71.803012	0.00649	+
80	Tb927.11.7710	71.634386	0.00649	+
81	Tb927.11.1450	70.060508	0.00679	-
82	Tb927.2.6220	68.831688	0.00695	+
83	Tb927.11.15860	64.990190	0.00880	-
84	Tb927.11.1560	64.832155	0.00880	+
85	Tb927.11.950	64.081628	0.00894	+
86	Tb927.5.309b	64.037824	0.00894	+
87	Tb927.5.310	63.640859	0.00920	+
88	Tb927.9.4200	62.853622	0.00932	-
89	Tb927.6.3990	62.069207	0.00966	-
90	Tb927.5.3600	61.521730	0.01000	+
91	Tb927.8.6450	61.513383	0.01000	-
92	Tb927.5.1780	61.113038	0.01011	+
93	Tb927.11.9780	60.538442	0.01011	-
94	Tb927.9.9640	59.390220	0.01053	-
95	Tb927.11.9440	59.184997	0.01053	-
96	Tb927.8.2720	59.165893	0.01053	+
97	Tb927.7.4970	59.099096	0.01053	-
98	Tb927.9.7540	58.556376	0.01092	-
99	Tb927.6.410	58.500522	0.01092	+
100	Tb927.8.7610	58.447745	0.01092	-
101	Tb927.11.9200	58.269989	0.01092	+
102	Tb927.5.3500	58.171582	0.01092	+
103	Tb927.10.15360	57.488182	0.01117	-
104	Tb927.5.420	57.365880	0.01125	+
105	Tb927.5.930	56.343516	0.01210	-
106	Tb11.v5.0421	56.242623	0.01210	+
107	Tb927.8.2670	56.167537	0.01210	-
108	Tb927.4.4880	55.786910	0.01213	-
109	Tb927.3.3370	55.668562	0.01213	+
110	Tb927.10.430	55.602197	0.01213	-
111	Tb927.10.7410	55.477843	0.01213	-
112	Tb927.11.9610	54.981427	0.01232	-
113	Tb927.11.16340	54.135197	0.01319	-
114	Tb927.1.5120	54.120243	0.01319	+
115	Tb927.9.15040	53.806141	0.01330	+
116	Tb927.11.9470	53.360138	0.01362	-
117	Tb927.4.2290	52.858899	0.01385	+
118	Tb927.8.870	52.745828	0.01385	+
119	Tb927.11.9400	52.471545	0.01412	-
120	Tb927.7.210	51.929148	0.01467	-
121	Tb927.9.15470	51.125332	0.01562	-
122	Tb927.10.7990	51.043284	0.01562	-
123	Tb927.8.6710	50.984351	0.01562	+
124	Tb927.4.4350	49.740406	0.01734	-
125	Tb927.8.3630	49.533702	0.01744	-
126	Tb927.10.2110	49.442202	0.01744	-
127	Tb927.11.5050	49.040455	0.01795	-
128	Tb927.10.9560	48.587038	0.01820	-
129	Tb927.9.5170	48.458318	0.01822	-
130	Tb927.9.8130	48.041509	0.01838	-
131	Tb927.9.8720	47.583969	0.01954	-
132	Tb927.10.6070	47.399343	0.01954	-
133	Tb927.3.4120	47.370864	0.01954	+
134	Tb927.8.1790	47.109106	0.01970	-
135	Tb927.11.6870	46.605987	0.02059	-
136	Tb927.4.2650	46.316743	0.02096	+
137	Tb927.10.14000	46.184607	0.02096	-
138	Tb927.11.9405	45.976051	0.02096	-
139	Tb927.11.9700	45.911248	0.02096	-
140	Tb927.4.4570	45.715772	0.02100	-
141	Tb927.4.3770	45.202745	0.02184	-
142	Tb927.11.11920	45.152758	0.02184	+
143	Tb927.6.3240	44.927164	0.02184	+
144	Tb927.1.1500	44.001296	0.02292	+
145	Tb927.7.520	43.980550	0.02292	-
146	Tb927.11.3440	43.929965	0.02292	-
147	Tb927.11.2190	43.096305	0.02395	-
148	Tb11.v5.0228	42.749486	0.02453	+
149	Tb927.11.11090	42.583100	0.02470	+
150	Tb927.2.3370	42.571056	0.02470	-
151	Tb927.5.2990	42.486349	0.02470	+
152	Tb927.10.10000	42.427648	0.02470	-
153	Tb927.11.1260	42.276222	0.02510	-
154	Tb927.7.3470	41.966697	0.02519	-
155	Tb927.4.610	41.691218	0.02561	+
156	Tb927.11.9690	41.542525	0.02583	-
157	Tb927.5.360	41.427107	0.02605	+
158	Tb927.11.9670	41.366711	0.02605	-
159	Tb927.5.920	41.187611	0.02605	+
160	Tb927.8.2330	40.980688	0.02637	-
161	Tb927.5.370	40.784893	0.02671	+
162	Tb927.10.7860	40.549877	0.02685	-
163	Tb927.7.280	40.197163	0.02748	-
164	Tb927.11.15440	39.761436	0.02835	-
165	Tb927.4.4790	39.736425	0.02835	+
166	Tb927.4.1930	39.607600	0.02835	-
167	Tb927.11.13770	38.977187	0.02970	+
168	Tb927.3.4640	38.598369	0.03018	-
169	Tb927.5.3370	37.953018	0.03189	+
170	Tb927.11.1020	37.950894	0.03189	-
171	Tb927.8.4690	37.424872	0.03257	-
172	Tb927.8.7980	37.306113	0.03285	-
173	Tb927.8.2310	37.130088	0.03289	-
174	Tb927.11.9550	36.905652	0.03316	-
175	Tb927.8.6730	36.802038	0.03331	+
176	Tb927.5.1260	36.208676	0.03506	+
177	Tb927.7.2160	35.994546	0.03531	-
178	Tb927.9.13100	35.715519	0.03573	-
179	Tb927.11.9420	35.641336	0.03573	-
180	Tb927.11.9520	35.400761	0.03633	-
181	Tb927.7.4390	35.393986	0.03633	-
182	Tb10.v4.0149	35.344811	0.03633	-
183	Tb927.11.16790	34.778405	0.03743	+
184	Tb927.11.13220	34.614461	0.03788	-
185	Tb927.8.3470	34.412165	0.03827	+
186	Tb927.7.4800	34.405072	0.03827	-
187	Tb927.9.9730	34.310671	0.03829	-
188	Tb927.11.9090	34.235681	0.03829	+
189	Tb927.11.12090	34.042529	0.03852	-
190	Tb927.5.4420	33.970362	0.03879	+
191	Tb10.v4.0252	33.767235	0.03911	+
192	Tb927.10.2220	33.767235	0.03911	+
193	Tb927.11.10030	33.767235	0.03911	+
194	Tb927.2.5600	33.767235	0.03911	+
195	Tb927.10.3750	33.708269	0.03911	-
196	Tb927.11.13710	33.708183	0.03911	-
197	Tb927.9.6350	33.704407	0.03911	+
198	Tb927.6.5130	33.670534	0.03911	-
199	Tb927.8.8040	33.416411	0.03911	-
200	Tb927.9.13360	33.347912	0.03911	-
201	Tb927.11.4860	33.229879	0.03915	+
202	Tb927.11.15450	33.197442	0.03915	-
203	Tb927.10.9140	33.058482	0.03931	-
204	Tb927.9.12630	32.858831	0.04020	-
205	Tb927.4.4070	32.752113	0.04020	-
206	Tb927.6.3000	32.651324	0.04034	-
207	Tb927.11.5120	32.641132	0.04034	+
208	Tb927.11.13130	32.634899	0.04034	+
209	Tb927.9.12300	32.572426	0.04034	-
210	Tb927.5.760	32.407467	0.04081	+
211	Tb927.10.8730	32.364298	0.04081	-
212	Tb927.8.7960	32.093514	0.04184	+
213	Tb927.4.1230	31.977523	0.04202	-
214	Tb11.01.6241	31.975961	0.04202	+
215	Tb927.10.8100	31.893505	0.04202	+
216	Tb927.1.3390	31.553418	0.04282	+
217	Tb927.10.10600	31.211848	0.04378	-
218	Tb927.6.1860	30.978415	0.04486	+
219	Tb927.10.11890	30.915415	0.04486	-
220	Tb927.7.1240	30.631590	0.04559	-
221	Tb927.5.940	30.575474	0.04579	-
222	Tb927.3.2650	30.331496	0.04676	-
223	Tb927.5.3880	30.313943	0.04676	+
224	Tb927.10.8880	30.307070	0.04676	+
225	Tb927.11.15150	29.676816	0.04938	-
226	Tb927.7.4180	29.613080	0.04951	-
227	Tb927.10.5310	29.611718	0.04951	-
228	Tb927.10.12480	29.468563	0.05000	+
229	Tb927.2.2490	29.270882	0.05066	+
230	Tb927.8.6060	29.057753	0.05161	-
231	Tb927.10.15790	29.046099	0.05161	-
232	Tb927.5.1060	29.043204	0.05161	-
233	Tb927.10.3530	29.018153	0.05161	+
234	Tb927.9.15190	28.743937	0.05184	-
235	Tb927.7.7500	28.624061	0.05184	+
236	Tb927.1.3830	28.333006	0.05288	-
237	Tb927.9.12320	28.306353	0.05288	-
238	Tb927.9.15890	28.299458	0.05288	-
239	Tb927.9.13490	28.271583	0.05288	+
240	Tb927.9.11480	28.258733	0.05288	+
241	Tb927.3.4360	28.246989	0.05288	-
242	Tb927.9.11600	28.077970	0.05302	-
243	Tb927.6.1870	28.070316	0.05302	-
244	Tb927.8.8340	28.051179	0.05302	+
245	Tb927.11.4890	27.982096	0.05314	+
246	Tb927.11.9730	27.693289	0.05423	-
247	Tb927.8.3840	27.603707	0.05462	+
248	Tb927.9.1350	27.368376	0.05560	+
249	Tb927.10.13740	27.246120	0.05610	-
250	Tb927.10.2230	27.119810	0.05672	-
251	Tb927.7.2970	26.781063	0.05825	+
252	Tb927.3.3900	26.751080	0.05837	-
253	Tb927.6.3890	26.690230	0.05854	-
254	Tb927.10.11930	26.599447	0.05894	-
255	Tb927.4.2240	26.566740	0.05894	-
256	Tb927.4.2740	26.459223	0.05926	-
257	Tb927.5.4300	26.453768	0.05926	+
258	Tb927.9.10950	26.154435	0.06070	+
259	Tb927.8.4820	25.929758	0.06212	-
260	Tb927.8.5510	25.881327	0.06219	+
261	Tb927.9.15010	25.800557	0.06253	-
262	Tb927.8.4810	25.795949	0.06253	-
263	Tb927.3.3410	25.630388	0.06331	+
264	Tb927.10.14070	25.537384	0.06345	-
265	Tb927.11.6630	25.412872	0.06404	-
266	Tb927.2.5870	25.304883	0.06432	-
267	Tb927.10.15700	25.244594	0.06442	-
268	Tb927.11.15900	25.217679	0.06444	-
269	Tb927.6.4130	25.097531	0.06472	-
270	Tb927.5.510	25.092873	0.06472	-
271	Tb927.1.1270	25.020822	0.06472	+
272	Tb927.11.14360	25.001778	0.06472	+
273	Tb927.5.3200	24.862011	0.06535	+
274	Tb927.10.12700	24.849008	0.06535	-
275	Tb927.11.4300	24.827619	0.06535	-
276	Tb927.7.470	24.671575	0.06598	+
277	Tb927.8.5320	24.664291	0.06598	-
278	Tb927.9.10650	24.649231	0.06598	+
279	Tb927.10.16120	24.648545	0.06598	-
280	Tb927.9.12710	24.538991	0.06598	-
281	Tb927.10.5340	24.440713	0.06616	-
282	Tb927.8.2520	24.406123	0.06616	-
283	Tb927.8.2850	24.229273	0.06696	-
284	Tb927.11.3890	24.218071	0.06696	+
285	Tb927.1.1240	24.180036	0.06696	-
286	Tb927.4.540	24.159300	0.06696	-
287	Tb927.5.2340	24.112263	0.06696	+
288	Tb927.11.840	24.111757	0.06696	+
289	Tb927.10.190	23.935023	0.06737	-
290	Tb927.1.1310	23.922136	0.06737	+
291	Tb927.11.6330	23.903013	0.06737	-
292	Tb927.10.6370	23.845156	0.06737	-
293	Tb927.10.730	23.825215	0.06737	-
294	Tb927.11.10280	23.621094	0.06850	+
295	Tb927.11.1680	23.545096	0.06881	-
296	Tb927.6.4830	23.524577	0.06881	+
297	Tb927.8.4150	23.432825	0.06902	-
