"","V1","log-ratios C2 vs C1","log-ratios C1 vs C2","FDR PolySTest C2 vs C1","FDR PolySTest C1 vs C2","FDR limma C2 vs C1","FDR limma C1 vs C2","FDR Miss test C2 vs C1","FDR Miss test C1 vs C2","FDR rank products C2 vs C1","FDR rank products C1 vs C2","FDR permutation test C2 vs C1","FDR permutation test C1 vs C2","FDR t-test C2 vs C1","FDR t-test C1 vs C2","Selected","SM1","R1","SM2","R2","SM3","R3"
"feature 1","Tb927.5.4450","0.344103156768333","-0.344103156768333","0.198090594440545","0.198090594440545","0.0495226486101363","0.0495226486101363","1","1","0.395636008078433","0.375278315258279","0.453056776808668","0.417223972041248","0.142250720595849","0.142250720595849",FALSE,17.3550161069775,18.0006462409985,17.3893653619758,17.7653384326577,17.4576836985223,17.4683899641245
"feature 2","Tb05.5K5.110","0.16321945873702","-0.16321945873702","0.190022394866023","0.190022394866023","0.0569596870149172","0.0569596870149172","0.0950111974330115","0.0950111974330115","0.54432364091753","0.536534703805477","0.455312767033465","0.446866023789101","0.129406259601575","0.129406259601575",FALSE,22.1973434804911,22.3955335955027,22.180922611146,22.220485019668,22.1695217697359,22.4214276224133
"feature 3","Tb927.5.4470","0.107597121733379","-0.107597121733379","0.47786403429243","0.47786403429243","0.119466008573108","0.119466008573108","1","1","0.754472426430107","0.747266809559749","0.658807768868539","0.626258843054346","0.150532637861625","0.150532637861625",FALSE,19.0346365889901,19.2467120727437,19.0318120084994,19.2105735332449,19.1525178123416,19.0844721690426
"feature 4","Tb927.5.4480","0.144349140556811","-0.144349140556811","0.224963820193254","0.224963820193254","0.0562409550483136","0.0562409550483136","0.378600414635901","0.378600414635901","0.592723569292913","0.59323163518705","0.412695792122436","0.359021570308563","0.0903918632361467","0.0903918632361467",FALSE,22.2105680819434,22.4356256903066,22.1806732256586,22.365212100095,22.3057462795702,22.3291972184411
"feature 5","Tb927.5.4500","0.25409181984919","-0.25409181984919","0.485454859036753","0.485454859036753","0.121363714759188","0.121363714759188","0.296422265782462","0.296422265782462","0.799093463242683","0.809454676283479","0.63987993925407","0.603552550310971","0.216517089456946","0.216517089456946",FALSE,22.7798454645032,23.2882601162115,22.7137732226605,23.098290673287,22.7700477615055,22.6393911187183
"feature 6","Tb927.5.4520","0.24857367009515","-0.24857367009515","0.495440349109712","0.495440349109712","0.123860087277428","0.123860087277428","1","1","0.78974571677625","0.78049346009145","0.629132604070832","0.61409210447672","0.213878052200055","0.213878052200055",FALSE,17.1500659089634,17.7299923465753,17.1285392336854,17.4912890418158,17.2912727703532,17.0943175348965
"feature 7","Tb927.5.4360","-0.263606392031316","0.263606392031316","0.0623302298753816","0.0623302298753816","0.0155825574688454","0.0155825574688454","0.378600414635901","0.378600414635901","0.130617227241636","0.13848738959704","0.268342768342768","0.25143349800884","0.0759513680705799","0.0759513680705799",FALSE,17.3500208676366,17.0614398531808,17.4240793941659,17.109743256648,17.2472260790617,17.0593240549415
"feature 8","Tb927.5.4560","0.752595395344378","-0.752595395344378","0.00995121851941025","0.0109646448493105","0.00890545398748132","0.00890545398748132","0.062859739372256","0.062859739372256","0.00248780462985256","0.00274116121232762","0.263463808918354","0.25143349800884","0.0887148626298776","0.0887148626298776",FALSE,22.3095295027937,23.3391111652237,22.2434474528567,22.961438653079,22.2915517722357,22.8017650956165
"feature 9","Tb05.5K5.210","0.0535863424663994","-0.0535863424663994","0.89215773515322","0.89215773515322","0.223039433788305","0.223039433788305","1","1","0.796644168714181","0.799610973797557","0.914856357894333","0.910903328705114","0.219004832823324","0.219004832823324",FALSE,20.2105680819434,20.3842561899086,20.2984412496494,20.3313328405723,20.3024327667032,20.2566120952144
"feature 10","Tb927.5.4380","0.197937668347423","-0.197937668347423","0.594725403576138","0.594725403576138","0.148681350894035","0.148681350894035","0.402694455447165","0.402694455447165","0.81222055024408","0.835245380335767","0.715245391908935","0.706929087457245","0.230362906134882","0.230362906134882",FALSE,21.6236111226929,21.8859280194841,21.4380015680585,21.8732550480664,21.4914555928882,21.3876982211314
"feature 11","Tb927.5.4390","-0.201070538013372","0.201070538013372","1","1","0.280182850847063","0.280182850847063","1","1","0.933030657688567","0.93894253773499","0.792142426514794","0.817980764803781","0.336048173821084","0.336048173821084",FALSE,18.3243817366711,17.3099952032361,18.3077662125417,18.5763172745425,18.0389134803671,18.1815373377612
"feature 12","Tb927.5.4400","0.146306718437565","-0.146306718437565","0.156408169860893","0.156408169860893","0.0391020424652232","0.0391020424652232","0.378600414635901","0.378600414635901","0.557296964611075","0.56012102463348","0.278549671187708","0.301306179425181","0.0621563832475656","0.0621563832475656",FALSE,18.9841741128084,19.1827732754801,18.9719086825191,19.1455003498921,19.037231856535,19.103961181803
"feature 13","Tb927.5.4410","-0.0751635450826171","0.0751635450826171","0.724127602216564","0.786574067295601","0.205999828151647","0.205999828151647","1","1","0.513260230465088","0.526441303330417","0.543095701662423","0.5899305504717","0.238866607612465","0.238866607612465",FALSE,17.9660984758823,17.9752021667452,17.8577471575082,17.8023258892484,18.0512521811236,17.8720791232726
"feature 14","Tb927.5.4420","0.558720560350886","-0.558720560350886","0.0467429225729026","0.0463509670089076","0.0154503223363025","0.0154503223363025","0.130699086999893","0.130699086999893","0.0233714612864513","0.021143187478612","0.278549671187708","0.285076838528954","0.0916021385052298","0.0916021385052298",FALSE,21.5821431106814,22.513223852978,21.6952339280823,22.1702008201629,21.7542455725301,22.0243596192057
"feature 15","Tb927.5.4430","0.387997517556062","-0.387997517556062","0.080093297648821","0.080093297648821","0.0200233244122053","0.0200233244122053","0.378600414635901","0.378600414635901","0.0978330978396295","0.0983707330664529","0.281806874572335","0.26997304032541","0.10370920923533","0.10370920923533",FALSE,16.9143926310057,17.5342637804686,16.9606814270959,17.1895133578049,16.8882865764594,17.2035760489557
"feature 16","Tb927.5.4440","0.0285733229538134","-0.0285733229538134","1","1","0.380661836730426","0.380661836730426","1","1","0.954864459400373","0.963783838334891","0.983620528497751","0.981449401662168","0.404937904267555","0.404937904267555",FALSE,20.4529837110642,20.227212479763,20.6242028523148,20.7875164946545,20.2883637275107,20.4365412853337
"feature 17","Tb06.3A7.270","-0.0012511952999296","0.0012511952999296","1","1","0.413873284724994","0.413873284724994","1","1","0.713963554136364","0.719320262237923","0.853767832987946","0.848509772120883","0.430509053048237","0.430509053048237",FALSE,14.3595112853654,14.4513302536474,14.5783628377424,14.4021606223681,14.4585091033481,14.5391387645406
"feature 18","Tb06.3A7.960","0.0626044188563325","-0.0626044188563325","0.669045974337797","0.669045974337797","0.167261493584449","0.167261493584449","1","1","0.803162943341139","0.806722472388093","0.79098447978583","0.839696630978005","0.129007293358712","0.129007293358712",FALSE,18.4988071606385,18.6079419282666,18.5171677297803,18.6143423683371,18.5830175391877,18.5645213895718
"feature 19","Tb927.7.2150","0.301420101921684","-0.301420101921684","0.0730634338513227","0.0730634338513227","0.0182658584628307","0.0182658584628307","0.296422265782462","0.296422265782462","0.215379466547061","0.209335414605729","0.305015436966427","0.27568151230458","0.0712573358137424","0.0712573358137424",FALSE,16.2413625950808,16.3877783901613,16.0962399907938,16.6010389661155,16.2100498206826,16.4630953560455
