Gene_acc,Gene_id,log2fc,log10intensity,logFDR,Desc,desc2,ids2
0,Tb927.2.6320,2.539894553390921,5.365034587844331,-5.322054202759963,"adenosine transporter 2, putative","Tb927.2.6320:mRNA-p1 | transcript=Tb927.2.6320:mRNA | gene=Tb927.2.6320 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenosine transporter 2, putative | transcript_product=adenosine transporter 2, putative | location=Tb927_02_v5.1:1159520-11",Tb927.2.6320:mRNA-p1
1,Tb927.5.3460,1.9971587495187995,5.180314135402864,-0.4568562887418421,Flagellum attachment zone protein 16,Tb927.5.3460:mRNA-p1 | transcript=Tb927.5.3460:mRNA | gene=Tb927.5.3460 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Flagellum attachment zone protein 16 | transcript_product=Flagellum attachment zone protein 16 | location=Tb927_05_v5.1:1145,Tb927.5.3460:mRNA-p1
2,Tb927.10.7300,1.871471783090559,6.589038716446048,-4.631602503796438,"hypothetical protein, conserved","Tb927.10.7300:mRNA-p1 | transcript=Tb927.10.7300:mRNA | gene=Tb927.10.7300 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:1844023-184",Tb927.10.7300:mRNA-p1
3,Tb927.6.4470,1.5147687874980562,5.454275931178484,-4.200503670631765,S-adenosylmethionine decarboxylase proenzyme,Tb927.6.4470:mRNA-p1 | transcript=Tb927.6.4470:mRNA | gene=Tb927.6.4470 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=S-adenosylmethionine decarboxylase proenzyme | transcript_product=S-adenosylmethionine decarboxylase proenzyme | location=Tb,Tb927.6.4470:mRNA-p1
4,Tb927.7.180,1.444192984457539,6.470707959465665,-2.228378878143488,"Trypanosomal VSG domain containing protein, putative","Tb927.7.180:mRNA-p1 | transcript=Tb927.7.180:mRNA | gene=Tb927.7.180 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Trypanosomal VSG domain containing protein, putative | transcript_product=Trypanosomal VSG domain containing protein, putative ",Tb927.7.180:mRNA-p1
5,Tb927.5.2750,1.1098570308926023,6.182185191092703,-3.006191805394913,"Alpha/beta hydrolase family, putative","Tb927.5.2750:mRNA-p1 | transcript=Tb927.5.2750:mRNA | gene=Tb927.5.2750 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Alpha/beta hydrolase family, putative | transcript_product=Alpha/beta hydrolase family, putative | location=Tb927_05_v5.1:92",Tb927.5.2750:mRNA-p1
6,Tb927.2.6200,1.0890319329353966,6.038421266248131,-1.9220499469784407,"adenosine transporter 2, putative","Tb927.2.6200:mRNA-p1 | transcript=Tb927.2.6200:mRNA | gene=Tb927.2.6200 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenosine transporter 2, putative | transcript_product=adenosine transporter 2, putative | location=Tb927_02_v5.1:1117941-11",Tb927.2.6200:mRNA-p1;Tb927.2.6280:mRNA-p1;Tb927.2.6240:mRNA-p1
7,Tb11.v5.0826,1.0865350926367454,5.907480830176408,-1.3400005612480697,"expression site-associated gene (ESAG) protein, putative","Tb11.v5.0826.1-p1 | transcript=Tb11.v5.0826.1 | gene=Tb11.v5.0826 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene (ESAG) protein, putative | transcript_product=expression site-associated gene (ESAG) protein, puta",Tb11.v5.0826.1-p1;Tb927.7.6860:mRNA-p1
8,Tb927.3.560,1.046882495258996,5.79187158167083,-2.0113605520393523,"expression site-associated gene 11 (ESAG11) protein, putative","Tb927.3.560:mRNA-p1 | transcript=Tb927.3.560:mRNA | gene=Tb927.3.560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 11 (ESAG11) protein, putative | transcript_product=expression site-associated gene 11 (ESAG11) ",Tb927.3.560:mRNA-p1
9,Tb927.11.4100,1.0331160755265505,6.205802728482915,-2.3033749909495222,"variant surface glycoprotein (VSG), putative","Tb927.11.4100.1-p1 | transcript=Tb927.11.4100.1 | gene=Tb927.11.4100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG), putative | transcript_product=variant surface glycoprotein (VSG), putative | location=Tb927",Tb927.11.4100.1-p1
10,Tb927.5.1360,1.026097567365249,6.811290138481555,-2.164861105045969,nucleoside 2-deoxyribosyltransferase,Tb927.5.1360:mRNA-p1 | transcript=Tb927.5.1360:mRNA | gene=Tb927.5.1360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=nucleoside 2-deoxyribosyltransferase | transcript_product=nucleoside 2-deoxyribosyltransferase | location=Tb927_05_v5.1:4984,Tb927.5.1360:mRNA-p1
11,Tb927.11.1470,1.0061896446525442,4.7881805137202145,-2.7272298537896336,65 kDa invariant surface glycoprotein-like protein,Tb927.11.1470:mRNA-p1 | transcript=Tb927.11.1470:mRNA | gene=Tb927.11.1470 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=65 kDa invariant surface glycoprotein-like protein | transcript_product=65 kDa invariant surface glycoprotein-like protei,Tb927.11.1470:mRNA-p1
12,Tb927.10.11380,0.9803098207067548,5.9360136676044295,-0.0830908460142563,"hypothetical protein, conserved","Tb927.10.11380:mRNA-p1 | transcript=Tb927.10.11380:mRNA | gene=Tb927.10.11380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:2775826-",Tb927.10.11380:mRNA-p1
13,Tb09.v4.0150,0.925974298748099,5.596091584741294,-2.353755919741482,"variant surface glycoprotein (VSG, pseudogene), putative","Tb09.v4.0150:pseudogenic_transcript-p1 | transcript=Tb09.v4.0150:pseudogenic_transcript | gene=Tb09.v4.0150 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, pseudogene), putative | transcript_product=variant su",Tb09.v4.0150:pseudogenic_transcript-p1
14,Tb927.10.16190,0.9214927768741862,6.205947667735148,-2.5961081322662856,procyclic-enriched flagellar receptor adenylate cyclase 2,Tb927.10.16190:mRNA-p1 | transcript=Tb927.10.16190:mRNA | gene=Tb927.10.16190 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=procyclic-enriched flagellar receptor adenylate cyclase 2 | transcript_product=procyclic-enriched flagellar receptor a,Tb927.10.16190:mRNA-p1
15,Tb927.5.300b,0.9154207590240404,6.422402652914263,-2.7169203438569554,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative","Tb927.5.300b:mRNA-p1 | transcript=Tb927.5.300b:mRNA | gene=Tb927.5.300b | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative | transcript_product=2-oxoglutarate (2OG) ",Tb927.5.300b:mRNA-p1;Tb927.5.300:mRNA-p1;Tb11.v5.0215.1-p1
16,Tb11.v5.0600,0.9151076105534961,3.4469985073696137,-0.9797039608099127,"HIT zinc finger, putative","Tb11.v5.0600.1-p1 | transcript=Tb11.v5.0600.1 | gene=Tb11.v5.0600 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=HIT zinc finger, putative | transcript_product=HIT zinc finger, putative | location=Tb927_11_bin_v5.1:2828665-2830089(-) | protein",Tb11.v5.0600.1-p1;Tb927.11.7450:mRNA-p1
17,Tb927.5.3710,0.9128386865312293,6.358358647582051,-2.353755919741482,Inositol phosphosphingolipids phospholipase C,Tb927.5.3710:mRNA-p1 | transcript=Tb927.5.3710:mRNA | gene=Tb927.5.3710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Inositol phosphosphingolipids phospholipase C | transcript_product=Inositol phosphosphingolipids phospholipase C | location=,Tb927.5.3710:mRNA-p1
18,Tb927.10.1800,0.9119266861955312,5.808614197027067,-2.6772370005063095,"methyltransferase domain containing protein, putative","Tb927.10.1800:mRNA-p1 | transcript=Tb927.10.1800:mRNA | gene=Tb927.10.1800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=methyltransferase domain containing protein, putative | transcript_product=methyltransferase domain containing protein, p",Tb927.10.1800:mRNA-p1;Tb11.v5.0832.1-p1
19,Tb927.5.2690,0.9033576197555465,5.795124531519111,-2.617016555370131,"inositol-1(or 4)-monophosphatase 1, putative","Tb927.5.2690:mRNA-p1 | transcript=Tb927.5.2690:mRNA | gene=Tb927.5.2690 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=inositol-1(or 4)-monophosphatase 1, putative | transcript_product=inositol-1(or 4)-monophosphatase 1, putative | location=Tb",Tb927.5.2690:mRNA-p1
20,Tb927.1.5110,0.8653339485377369,5.47386808171812,-1.7645761733941316,"expression site-associated gene 11 (ESAG11) protein, putative","Tb927.1.5110:mRNA-p1 | transcript=Tb927.1.5110:mRNA | gene=Tb927.1.5110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 11 (ESAG11) protein, putative | transcript_product=expression site-associated gene 11 (ESAG1",Tb927.1.5110:mRNA-p1
21,Tb927.11.17870,0.8592797172127384,5.872030232791821,-2.139966962600076,"variant surface glycoprotein (VSG), interrupted","Tb927.11.17870:mRNA-p1 | transcript=Tb927.11.17870:mRNA | gene=Tb927.11.17870 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG), interrupted | transcript_product=variant surface glycoprotein (VSG), interrupted |",Tb927.11.17870:mRNA-p1
22,Tb927.2.4370,0.8534495139457662,7.1387992594601055,-2.6535748326258872,trypanothione synthetase,Tb927.2.4370:mRNA-p1 | transcript=Tb927.2.4370:mRNA | gene=Tb927.2.4370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=trypanothione synthetase | transcript_product=trypanothione synthetase | location=Tb927_02_v5.1:771007-772890(-) | protein_l,Tb927.2.4370:mRNA-p1;Tb11.v5.0653.1-p1
23,Tb927.2.6220,0.8531628033368623,5.869572209326956,-1.2474271578537115,"adenosine transporter 2, putative","Tb927.2.6220:mRNA-p1 | transcript=Tb927.2.6220:mRNA | gene=Tb927.2.6220 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenosine transporter 2, putative | transcript_product=adenosine transporter 2, putative | location=Tb927_02_v5.1:1128353-11",Tb927.2.6220:mRNA-p1
